,listing_id,id,review_date,reviewer_id,reviewer_name,comments,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,review_year,review_month,review_day
158032,9483436,58981370,2016-01-05,6686842,Tina,The host canceled this reservation 53 days before arrival. This is an automated posting.,"Lovely apt with private garden next to IMD, Ouchy",19056823,Raimondo,Lausanne,Lausanne,46.50959,6.622789999999999,Entire home/apt,99,2016,01,05
158041,9483436,58981909,2016-01-05,36455146,Reto,The host canceled this reservation 26 days before arrival. This is an automated posting.,"Lovely apt with private garden next to IMD, Ouchy",19056823,Raimondo,Lausanne,Lausanne,46.50959,6.622789999999999,Entire home/apt,99,2016,01,05
158068,9483436,228534034,2018-01-20,37701993,Alberto,"The apartment is well located, close to the lake, and has a good size. The neighborhood is very quiet.","Lovely apt with private garden next to IMD, Ouchy",19056823,Raimondo,Lausanne,Lausanne,46.50959,6.622789999999999,Entire home/apt,99,2018,01,20
158360,9560150,59135809,2016-01-07,49722698,Jin,"host
The hosts were all very responsive and helpful.  Everyone was available to answer questions and answers were never delayed.  Everything was set up beautifully when we arrived.  The house was amazing and everything was perfect.  Chateau-d'OEx was a beautiful town and we could not have had a better stay",Sunshine Belle Etoile Chalet,2770598,Moriya,Riviera-Pays-d'Enhaut,Château-d'Oex,46.476490000000005,7.13012,Entire home/apt,290,2016,01,07
158392,9575600,58915807,2016-01-05,50717313,Matthias,"Bei Goran habe ich mich sofort wohl gefühlt.

Obwohl er nicht da war hat mit der Übergabe alles bestens geklappt. Seine Schwester war immer behilflich falls Fragen auftauchten. 

Es ist sehr angenehm in dieser Wohnung in Lausanne zu wohnen.

Vielleicht bis auf ein ander mal. Würde mich freuen!",Big flat in the heart of Lausanne,7019442,Oran,Lausanne,Lausanne,46.52357010826475,6.6337935017604055,Entire home/apt,70,2016,01,05
158394,9580391,59383178,2016-01-10,6933651,Beatrice,"Hôtes parfaits, aussi bien Florence que son mari sont très accueillants. La location est juste parfaite, grande, pleine de lumière et très bien équipée. Le panorama est magnifique depuis cet endroit de Leysin, sans vis-à-vis. ",LEYSIN - 3 pièces avec terrasse panoramique,49593657,Florence,Aigle,Leysin,46.33749,7.008560000000001,Entire home/apt,150,2016,01,10
158420,9598262,229161824,2018-01-22,15378576,Tanya,Wonderful flat in one of the most beautiful areas in the world. The apartment is beautifully decorated and Bea was very easy to communicate with.,tolle 3-zimmerwohnung für 3 pers.,29838286,Bea,Riviera-Pays-d'Enhaut,Rougemont,46.48894830447856,7.1992072669435725,Entire home/apt,140,2018,01,22
158425,9598262,230842630,2018-01-29,147853269,Anne,"This apartment was beautiful and in a fabulous location. It lived up to all our expectations and we had a great time. Bea was a great host and responded quickly to all our questions. We would highly recommend this property.
Thank you for everything,
Anne and Madeleine ( London)",tolle 3-zimmerwohnung für 3 pers.,29838286,Bea,Riviera-Pays-d'Enhaut,Rougemont,46.48894830447856,7.1992072669435725,Entire home/apt,140,2018,01,29
158478,9704155,58624664,2016-01-03,2667871,Florian,"Nous avons passé un très agréable séjour dans l'appartement de Catherine. Cet appartement est très bien aménagé, confortable et très propre. De plus il est très bien situé, en plein centre.
Seul petit bémol, le wifi qui ne fonctionne mal.
Je recommande ce logement!",La petite montagne,28819380,Catherine,Aigle,Ollon,46.29968,7.05508,Entire home/apt,200,2016,01,03
158492,9704155,129081188,2017-01-29,10494945,Jean François,The host canceled this reservation 13 days before arrival. This is an automated posting.,La petite montagne,28819380,Catherine,Aigle,Ollon,46.29968,7.05508,Entire home/apt,200,2017,01,29
158513,9704155,587545367,2020-01-03,8695884,Caroline,"Un logement vraiment exceptionnel: un véritable havre de paix, à quelques minutes du centre ville de Villars (et donc du bus, train, commerces). Une luminosité qui fait du bien, une vue magnifique sur la montagne, un intérieur cosy et cocoon qui recharge les batteries. Silencieux, décoré avec goût, tout est là pour vous faire passer un moment vraiment unique . La réactivité d'Olivier, sa gentillesse, son accueil ont fait le reste. Merci encore. Je recommande cet endroit pour tout cela, les yeux fermés.",La petite montagne,28819380,Catherine,Aigle,Ollon,46.29968,7.05508,Entire home/apt,200,2020,01,03
158534,9708214,60351254,2016-01-22,19127114,Jimmy,Une séjour agréable dans une belle maison bien entretenu ou il y fait bon vivre . Vous y serrez bien reçu Gerda a le sens de  l'accueil merci pour tout   ,"Private room, quiet neighborhood.",50124814,Gerda,Lausanne,Lausanne,46.52687,6.660089999999999,Private room,45,2016,01,22
158574,9708214,127826928,2017-01-21,52286098,Marie,"Gerda est une hôte formidable! Prévoyante, attentionnée et pleine de discussion! Je vous conseille fortement d'y séjourner! La maison est dans un quartier calme et paisible à 15' à pied du CHUV et à 7' à pied des transports en commun. Les chambres sont nickelles et Gerda est toujours là au moindre souci! J'y retournerai sans aucun doute. ","Private room, quiet neighborhood.",50124814,Gerda,Lausanne,Lausanne,46.52687,6.660089999999999,Private room,45,2017,01,21
159218,9805088,59392678,2016-01-10,18363077,Kayla,"We had a lovely weekend in Stephi's apartment! It was very comfortable, close to the train station, and had everything we needed for the weekend. The apartment was very clean and organized and we especially loved the breakfast supplies (coffee, tea, etc.) that were left for our use. The view of the mountains from the loft is unbeatable!! Absolutely recommend if you're looking for a central location and a very welcoming host. So glad we were able to share a coffee before check-in! ",LovelyLoft 2-minsWalk Train Station,10013268,,Nyon,Gland,46.41896,6.2689699999999995,Entire home/apt,114,2016,01,10
159245,9805088,124247782,2017-01-01,102183660,Claire-Lise,"C'est un appartement moderne, très propre, spacieux et parfait pour une famille avec un petit enfant, ainsi que pour des jeunes (et moins jeunes).
Nous le recommandons vivement.",LovelyLoft 2-minsWalk Train Station,10013268,,Nyon,Gland,46.41896,6.2689699999999995,Entire home/apt,114,2017,01,01
159420,9841192,58388827,2016-01-02,34724103,Claire,"Nous avons passé un parfait séjour en amoureux chez Christophe et Michel : des hôtes accueillant et chaleureux qui ont à coeur de faire connaître les produits locaux lors de leur excellent brunch très copieux. La cabane est moderne, propre, décorée avec goût et très bien équipée. Paysage charmant, tranquillité au rendez vous. 
Rien à redire, tout était parfait, nous y retournerons avec plaisir !",Cabanes luxueuses dans les arbres,50675987,Christophe Et Michel,Broye-Vully,Lucens,46.72549629588748,6.841925580788495,Entire home/apt,300,2016,01,02
159514,9852169,124169945,2017-01-01,7194254,Clark,"great flat  , very clean and comfortable, very accommodating host , great location.",Chambre à 2 minutes du lac,43275599,Sophie,Aigle,Villeneuve (Vaud),46.39555,6.924689999999999,Private room,50,2017,01,01
159524,9852169,129079918,2017-01-29,112456791,Mohamed,Famille très sympathique . Je recommande fortement ,Chambre à 2 minutes du lac,43275599,Sophie,Aigle,Villeneuve (Vaud),46.39555,6.924689999999999,Private room,50,2017,01,29
159694,9852169,224514137,2018-01-03,133700682,Olivier,"Super accueil chez Sophie! Communication facile et sans accroc, recommandations sur les attractions aux alentours, ainsi que d'autres petites attentions qui ont facilité notre séjour. Situé entre le lac Léman et les montagnes, la localité est idéale pour explorer une région riche en panoramas.

Ça joue!",Chambre à 2 minutes du lac,43275599,Sophie,Aigle,Villeneuve (Vaud),46.39555,6.924689999999999,Private room,50,2018,01,03
159814,9852169,402344869,2019-01-18,201715600,Simon,chambre très sympa dans l'appartement d'une famille chaleureuse,Chambre à 2 minutes du lac,43275599,Sophie,Aigle,Villeneuve (Vaud),46.39555,6.924689999999999,Private room,50,2019,01,18
159944,9852169,593915452,2020-01-17,43317577,Natacha,"Une famille au top du top ! Un séjour inoubliable :-) une gentillesse et une incroyable générosité au quotidien... La chambre est très calme est confortable, avec également sa salle de bains privative. L'appartement se situe tout près du lac.",Chambre à 2 minutes du lac,43275599,Sophie,Aigle,Villeneuve (Vaud),46.39555,6.924689999999999,Private room,50,2020,01,17
160050,9873829,228305652,2018-01-19,83475713,Ettore,"great host, very reliable and friendly. i would definitely consider her hospitality for future stay.",Chambre et SdB privée à deux pas de la gare,5218182,Noémie,Lausanne,Lausanne,46.51345219981627,6.629588442805343,Private room,75,2018,01,19
160120,9875226,60584998,2016-01-25,2304432,Paul,"When I left for Switzerland my flight was cancelled and I was rerouted to a later flight with additional stops. So my arrival time was changed from a morning arrival to afternoon. Having 6 hours time difference I couldn't easily relay that info to Aless but when I landed and reached out to tell Aless of my late arrival... he was pleasant and accommodating with a no problem attitude. I appreciated it. The apartment is exactly as pictured and what was an even better surprise was how spotless and clean it was. It also had a very fresh scent that seemed to last the whole time as well. Aless made a space available to hang garments as well as drawers to use. He was available for any questions I had and always responded to any texts I sent.  I was there for 10 days and felt very comfortable and at ease during my stay. 
If your considering this location, please don't hesitate as its a great location with plenty of shops and lots to see withing walking distance. I would easily return and would like to stay there again should the situation arise. Thanks Aless for all your hospitality!... Paul",Appartement 1 pièce au centre ville,20979062,Aless,Lausanne,Lausanne,46.52035,6.63563,Entire home/apt,98,2016,01,25
160320,9875226,124936347,2017-01-03,22298484,Mattia,"The apartment is central, close to everything in the city, restaurants, shops and public transports.
It is clean and spacious enough for four people.
Aless was kind, always available and gave us good advices.
We hadn't any problem and I would definitely suggest staying at this place.",Appartement 1 pièce au centre ville,20979062,Aless,Lausanne,Lausanne,46.52035,6.63563,Entire home/apt,98,2017,01,03
160330,9875226,126888953,2017-01-15,45423080,Enrica,"Appartamento piccolo, ma confortevole.
In posizione centrale, vicino alla stazione del metro e alla principale via di Losanna.
Il padrone di casa disponibile e preciso, soprattutto durante l'organizzazione e al check-in.
poco spazio per mettere i propri effetti personali, ma nel complesso una buona alternativa all'hotel.",Appartement 1 pièce au centre ville,20979062,Aless,Lausanne,Lausanne,46.52035,6.63563,Entire home/apt,98,2017,01,15
160570,9875226,405454373,2019-01-27,31711608,Faisal,"excellent location, very nice Host!",Appartement 1 pièce au centre ville,20979062,Aless,Lausanne,Lausanne,46.52035,6.63563,Entire home/apt,98,2019,01,27
160689,9896558,58945190,2016-01-05,16555890,Quentin,"Dépaysement garanti! Un accueil chaleureux de la part des hôtes. Chambre agréable, literie satisfaisante, grande salle de bain relaxante.
Une vue splendide au petit-déjeuner et de très bons conseils de la part de Myriam et Thibaud.",BnB vue imprenable et bain nordique,50887127,Myriam Et Thibaud,Aigle,Bex,46.271628869235755,7.044270221143512,Private room,60,2016,01,05
160841,9970961,58445938,2016-01-02,40018684,Joëlle,Nous avons passé une très agréable nuit chez nos hôtes qui sont très sympathique. La chambre est propre bien équipée ( douche et wc privée). À conseillée ,Chambre indépendante,51236919,Anne,Lavaux-Oron,Puidoux,46.48088,6.79597,Entire home/apt,70,2016,01,02
161081,9994723,60585909,2016-01-25,49824234,Nancy,"As a host Eric was amazing!!  He was onsite to greet me and show me everything that was necessary to live in his beautiful apartment.  He was so gracious you could not have asked more from a 5 star hotel! The apartment is well kept and spotless!!  Eric is very neat,orderly and organized.  He was very helpful about the area and extremely accessible.  He could be reached at anytime and no request was ever overlooked.  The view from his apartment as well as the balcony are truly amazing.  The building is quiet,safe and well kept.  He left me a bottle of wine and sweets for my first night there.  I have been here for a month and will be sorry to have to leave.  You could not go wrong staying in this lovely apartment. If you feel as I did that you need a cleaning person, Eric has a wonderful lady named Christine who is just amazing. I wish I could take her with me.  For a person traveling alone in Switzerland, I could not have asked for a better situation.",Amazing Flat view Lake,51346864,Eric,Riviera-Pays-d'Enhaut,Montreux,46.44055,6.910019999999999,Entire home/apt,129,2016,01,25
161411,10005813,60940082,2016-01-29,46275598,Adrienne,The host canceled this reservation 148 days before arrival. This is an automated posting.,2 bedroom apartment right on the lake,37607302,Dre,Riviera-Pays-d'Enhaut,Montreux,46.42929156411978,6.916304110516801,Entire home/apt,240,2016,01,29
161494,10080812,126746559,2017-01-14,44267801,Parham,The apartment was placed in the city centre and was very easy to access. The apartment itself was very clean and cozy.,Loft neuf 100m2 plein centre-ville,51727224,Nicolas,Lausanne,Lausanne,46.52083,6.63098,Entire home/apt,159,2017,01,14
161532,10095466,124954175,2017-01-03,31286387,Renaud,"Flexibilité d'arrivée et de départ, communication super rapide et détaillée, logement très propre.
Tout simplement parfait",Calm and charm in town the flat,51608486,Natalie,Morges,Morges,46.51531107257089,6.493119386944129,Entire home/apt,65,2017,01,03
161674,10095492,58471672,2016-01-02,1561707,Farida,"Nathalie est vraiment une hôte parfaite : attentionnée, chaleureuse et discrète ... elle nous a fait nous sentir bienvenues. L'appartement est un vrai havre de paix, lumineux et paisible avec une très jolie décoration. En tout point conforme aux photos et description. Je recommande vivement pour un séjour serein ... :-)",Calm and Charm in town,51608486,Natalie,Morges,Morges,46.514109999999995,6.491630000000001,Private room,52,2016,01,02
162324,10146820,367568817,2019-01-05,93981989,Sheree,Immaculately presented in fantastic location close to cog train stop with amazing views over snow capped mountains. Highly recommend.,"Villa Maria, Apartment 1",52075135,Johan,Aigle,Leysin,46.34082,7.00473,Entire home/apt,110,2019,01,05
162334,10146820,400830849,2019-01-13,7310557,Elena,"We highly recommend this apartment, it is warm and comfortable","Villa Maria, Apartment 1",52075135,Johan,Aigle,Leysin,46.34082,7.00473,Entire home/apt,110,2019,01,13
162344,10146820,404729862,2019-01-25,138716475,Gonçalo,Fantastic! House is extremely well equipped and prepared for its guests,"Villa Maria, Apartment 1",52075135,Johan,Aigle,Leysin,46.34082,7.00473,Entire home/apt,110,2019,01,25
162464,10146820,589614963,2020-01-06,233026560,Kerry,"Let me start by saying we travel a lot and we were very impressed! Perfect in every way. 

We opened the front door and went “wow”look at this!Immaculate in presentation and a great first impression. There are two double bedrooms, The first is a good size with two windows and  wardrobe. The lounge which is in the middle of the house has cosy seating area with multi language tv, with internet access and YouTube etc. A small bay provides a dining area with table and seating for up to 6. We found additional chairs in the store area along with hover, toilet roll, tools etc. 
The second bedroom is another good double with wardrobe and shelving, with double doors leading to a child’s room with full size bunk beds. Perfectly fine for older teenagers- our daughter was 15.
The kitchen is really well fitted with dishwasher and induction hob and with every thing you could need from a fondue set to microwave. To the rear of the kitchen is a utility area with large fridge/freezer and lots of bits such as spices, cooking oil etc. The family bathroom proves for a smaller bath with shower over and lots of very hot water and a separate toilet. There is also a shared laundry available and off road parking directly in front of the building. You have lovely views towards the mountains which you can enjoy from the bedrooms and dining area. Everything is of good quality, nice bedding and furnishings and it’s lovely and warm. All towels, bedding are included. 

The location is close to the main village and you can walk down a gentle slope in around 5 minutes. Our preferred shop was the coop as it had more choice than others. There are varied eateries in the village along with cinema in the classic hotel and ice skating and tobogganing at the bottom of the village. 


If you are going to ski then it’s a 2 minute drive to the main gondola but about 800 meters walk, so a bit of a trudge. You can park at the lifts for 5 francs a day- get there early as it can get busy a peak times. The “all area”ski pass also include Les Diablerets and the glacier3000 and they are close to each other’s about a 25 minute drive. A 6 day pass cost 310 francs. Not cheap! But over the last couple of years some new faster and bigger lifts have been added. The combined ski area is around 200 kilometres. Leysin offers around 60 kilometres. There are a number of ski hire shops with one directly opposite the main ski lift. 

Journey time from Geneva airport by car is about 1.5 hours and you can get a train to Aigle and then into Leysin where the closest station is only 100 yards away. 

This is a high quality accommodation with a very helpful host. 10/10 from us and we look forward to returning again.","Villa Maria, Apartment 1",52075135,Johan,Aigle,Leysin,46.34082,7.00473,Entire home/apt,110,2020,01,06
162474,10146820,599801375,2020-01-31,14023972,Pascale,Très bien équipé et très propre. Place de parking appréciable. On se sent à l’aise dans cet appartement !,"Villa Maria, Apartment 1",52075135,Johan,Aigle,Leysin,46.34082,7.00473,Entire home/apt,110,2020,01,31
162572,10171211,128888208,2017-01-28,2793489,Reshad,Very welcoming host. In a central location. ,"Charming flat, 2 rooms with big kitchen",52220061,Sandrine,Riviera-Pays-d'Enhaut,Château-d'Oex,46.47457,7.133489999999999,Entire home/apt,59,2017,01,28
162642,10171211,228792409,2018-01-21,26690389,Véronique,"Merci pour votre flexibilité et votre réactivité.
L appartement est idéalement situé pour accéder au domaine de ski, et pour visiter la région.
Nous avons passé un excellent moment en profitant pleinement des pistes!","Charming flat, 2 rooms with big kitchen",52220061,Sandrine,Riviera-Pays-d'Enhaut,Château-d'Oex,46.47457,7.133489999999999,Entire home/apt,59,2018,01,21
162762,10171211,405455644,2019-01-27,137872631,Fabian,"Wir verbrachten ein wundervolles Wochende im charmanten Appartement von Sandrine. Die zentral gelegene Wohnung (zu Fuss nur wenige Minuten vom Bahnhof entfernt) war sehr sauber und es war alles vorhanden was wir benötigten. Herzlichen Dank Sandrine für die unkomplizierte Organisation, die immer freundliche und promte Kommunikation, sowie für deine Gastfreundschaft!","Charming flat, 2 rooms with big kitchen",52220061,Sandrine,Riviera-Pays-d'Enhaut,Château-d'Oex,46.47457,7.133489999999999,Entire home/apt,59,2019,01,27
162837,10188552,224466429,2018-01-03,73388609,Olivier,"Appartement très chaleureux, bien situé, bien équipé, confortable, agréable, vue dégagée. Superbe !",Les Aigles,52323166,Veronique,Aigle,Ollon,46.29037,7.05651,Entire home/apt,375,2018,01,03
162927,10197194,406578444,2019-01-30,51595079,Jérôme,Maison chaleureuse et bien située. L’accueil d’Audrey est exceptionnel.,Chez Epicure-petite chambre double,52382334,Audrey,Jura-Nord vaudois,Lignerolle,46.74073,6.45715,Private room,60,2019,01,30
163196,10206703,594258115,2020-01-18,90409459,Dorothea V.,"Wunderschön gelegenes, liebevoll eingerichtetes und überaus gepflegtes Haus. Tolle Anbindung an das Skigebiet. Der Blick von der Terrasse ist unschlagbar!",Charming Chalet with stunning view,52441716,Julia,Aigle,Ollon,46.30283,7.0421,Entire home/apt,105,2020,01,18
163506,10219799,125175662,2017-01-04,11771816,Frank,"Ideal für eine Erfahrung, wie das Alltagsleben in den Bergen läuft. Sehr nette Gastgeberfamilie und tolles Frühstück mit selbst gebackenem Brot.",B&B La Grangette,21643146,Dorothée,Riviera-Pays-d'Enhaut,Château-d'Oex,46.45766,7.09553,Private room,45,2017,01,04
163516,10219799,128241092,2017-01-23,18811482,Pamela,"This place is simply amazing! A wonderful room in a chalet on the mountains, with gorgeous views and ambience - mouthwatering breakfast with genuine products from the valley - the hostess warm welcome and the great family made it a perfect retreat! Will definitely come back!",B&B La Grangette,21643146,Dorothée,Riviera-Pays-d'Enhaut,Château-d'Oex,46.45766,7.09553,Private room,45,2017,01,23
164552,10311639,127802228,2017-01-21,71178785,Laura,Bella casetta e host eccellente!,Appartement cosy très bien situé,32603442,Julien,Lausanne,Lausanne,46.51815,6.62942,Entire home/apt,70,2017,01,21
164561,10311639,128246699,2017-01-23,7799110,Jennifer,"It's hard to find a better, more central location in Lausanne than Julien's place. Clean, comfortable and quiet despite the central location. I didn't get to meet Julien but he was very available for questions. A nice stay!",Appartement cosy très bien situé,32603442,Julien,Lausanne,Lausanne,46.51815,6.62942,Entire home/apt,70,2017,01,23
164570,10311639,128722577,2017-01-27,104658411,Carole,Proche du centre ville ,Appartement cosy très bien situé,32603442,Julien,Lausanne,Lausanne,46.51815,6.62942,Entire home/apt,70,2017,01,27
164606,10311639,225715403,2018-01-07,106274917,René,"Cet appartement est un vrai bijou. 
Juste en haut de Lausanne Gare, et juste à coté du centre ville, il est bien positionné et équipé. C'est parfait pour un couple, très recommandé. Nous avons séjourné pendant 9 jours, ça a été magnifique: le lit est confortable, le chauffage très puissant, l'eau chaude arrive immédiatement, la salle de bains et les autres pièces sont très propres. 
Julien est très disponible, et organisé, nous avons beaucoup apprécié aussi ça. J'aimerais bien y retourner.",Appartement cosy très bien situé,32603442,Julien,Lausanne,Lausanne,46.51815,6.62942,Entire home/apt,70,2018,01,07
165650,10323669,366265178,2019-01-02,123882045,Ryan,"Very friendly, very clean house great location and a great time for sure!!",Chambres d'hôtes aux Grand'Portes,53127226,Geneviève,Riviera-Pays-d'Enhaut,Blonay,46.47161,6.89325,Private room,60,2019,01,02
166030,10325287,226724380,2018-01-12,9673762,Baudron,"l’accueil est exceptionnel, l'emplacement idéal et le logement très propre.
Je conseil vivement.",Aux 4 saisons (chambre),42768703,Claire-Lise,Morges,Saint-Prex,46.483909999999995,6.44462,Private room,60,2018,01,12
166040,10325287,228355306,2018-01-19,99380287,Amin,"Claire-Lise & Jean-Luc ont été d'un accueil formidable avec plein de petites attentions qui m'ont permis de me sentir comme à la maison. Ils m'ont été d'une aide inestimable et je les en remercie. Totalement équipé, propre et confortable, je recommande vivement Les 4 saisons. 
A bientôt je l'espère !",Aux 4 saisons (chambre),42768703,Claire-Lise,Morges,Saint-Prex,46.483909999999995,6.44462,Private room,60,2018,01,19
166456,10351509,231240159,2018-01-31,56477684,Nicolas,Viviane et François sont des gens très généreux qui aiment partager des moments avec leurs hôtes. Ma découverte de Lausanne et de la vie en Suisse n'en a était que plus simple et plus agréable. Que du bon!,Chambre indépendante,1326912,Viviane Et François,Lausanne,Lausanne,46.53174,6.6162600000000005,Private room,50,2018,01,31
166596,10351772,59622531,2016-01-12,53917144,Bilal,Very calm and nice host. Friendly and helpful.,Belle chambre lumineuse,46449285,Roxana Et André,Lausanne,Lausanne,46.51421,6.65132,Private room,53,2016,01,12
166606,10351772,59977689,2016-01-17,30467995,Faly,L' accueil était très sympa..on était tout de suite à l'aise. À  recommander et en plus c'est bien situé; merci encore et à la prochaine peut être.,Belle chambre lumineuse,46449285,Roxana Et André,Lausanne,Lausanne,46.51421,6.65132,Private room,53,2016,01,17
166616,10351772,60177245,2016-01-19,53554989,Fat & Zak,"Un court séjour sur l'avenue Léman m'a parmi de connaître 2 grands artistes, une femme peintre que j'ai découvert à travers ses toiles pleines de gaieté et un musicien passionné par sa musique et engagé dans ses projets. 
En ce qui concerne les lieux, conforme à la description et aux photos, lumineux, propre et spacieux. Accessible en voiture ou en transport en commun. Vous pouvez y aller les yeux fermés, a recommander!!!! J y reviendrai sans hésitation!!!",Belle chambre lumineuse,46449285,Roxana Et André,Lausanne,Lausanne,46.51421,6.65132,Private room,53,2016,01,19
166626,10351772,60520885,2016-01-24,48173372,颖华,"Antres y Roxana are the great host, the room is perfect which like the photo shown, have a good heater and the water for bath is warm enough. We feel free in the flat. And we had a nice dinner together and also a nice talk.  Everything is perfect and thank you so much. 
Violeta ",Belle chambre lumineuse,46449285,Roxana Et André,Lausanne,Lausanne,46.51421,6.65132,Private room,53,2016,01,24
167216,10351772,126232979,2017-01-10,7817493,Christophe,Roxana et André sont très sympathiques et agréables. Je recommande vivement cet endroit pour la gentillesse et le confort de cet appartement d'artistes.,Belle chambre lumineuse,46449285,Roxana Et André,Lausanne,Lausanne,46.51421,6.65132,Private room,53,2017,01,10
167226,10351772,126471542,2017-01-12,109584825,Denis,Très grande chambre et...bien chauffée,Belle chambre lumineuse,46449285,Roxana Et André,Lausanne,Lausanne,46.51421,6.65132,Private room,53,2017,01,12
167236,10351772,126757807,2017-01-14,80924380,迎红,房东夫妇都很和蔼，艺术家庭，妻子绘画，丈夫贝斯手，来过北京，上海开巡回演，欧洲人对物质的追求意识比较淡泊，家里装饰很简单，只有些生活必须品.这样反而觉得整洁温馨，在这边临时定了一晚，因为第二天要下午离开，房东又要出门，退房交钥匙时间就有点冲突，房东夫人不确定下午2点前一定能赶回来，好心的房东把钥匙留给我，她出门去了，让我下午出门钥匙给她放门口信箱，谢谢房东夫人的信任，很暖心的人，值得再次入住！,Belle chambre lumineuse,46449285,Roxana Et André,Lausanne,Lausanne,46.51421,6.65132,Private room,53,2017,01,14
167246,10351772,127422273,2017-01-18,13709762,Edouard,"Superbe acceuil de Roxana et André, arrivé à 21h nous avions passionnément discuté de Lausanne et bien d'autres choses jusqu'à plus de minuit. Un couple adorable que je recommande!",Belle chambre lumineuse,46449285,Roxana Et André,Lausanne,Lausanne,46.51421,6.65132,Private room,53,2017,01,18
167256,10351772,128511313,2017-01-25,34190827,Lexi,"I stayed at Roxana and André's place for two night. Because the time I arrived was in the afternoon and they were out of home. So they kindly left the key in the mailbox and noticed me the room I stayed in by sticking a paper on the door with my name and a warm welcome. The room is spacious and comfortable, the information of wifi and contact detail were writing on the paper leaving in the room. Both Roxana and André are very nice, I met Roxana at first night, she made me feel as free as at home. Moreover, since my flight was late at night, André allowed me to stay longer. If next time, definitely staying at their place again! P.s Dear Roxana, I like your artworks so much, and your singing too:p",Belle chambre lumineuse,46449285,Roxana Et André,Lausanne,Lausanne,46.51421,6.65132,Private room,53,2017,01,25
167266,10351772,128892923,2017-01-28,105566555,Dom,"Nice location, Roxana is very friendly and showed me around as soon as I arrived, and everything was just as described.",Belle chambre lumineuse,46449285,Roxana Et André,Lausanne,Lausanne,46.51421,6.65132,Private room,53,2017,01,28
167276,10351772,129515542,2017-01-31,24040941,Behzad,Staying at Roxana and Andre's was great. They were both very friendly and helpful. I will definitely stay at their place again.,Belle chambre lumineuse,46449285,Roxana Et André,Lausanne,Lausanne,46.51421,6.65132,Private room,53,2017,01,31
168096,10351772,223380430,2018-01-01,96936156,Michelle,Hôtes très agréables et à l'écoute de leurs invités. L'appartement de Roxana et André reflète leur créativité et leur sensibilité artistique. Notre séjour fut très comfortable. A recommender sans hésiter!,Belle chambre lumineuse,46449285,Roxana Et André,Lausanne,Lausanne,46.51421,6.65132,Private room,53,2018,01,01
168106,10351772,228531595,2018-01-20,149282928,Anja,"Spacey room in an artsy apartment with a very nice vibe to it. Roxana and André are great and uncomplicated hosts, we would definitely go there again!",Belle chambre lumineuse,46449285,Roxana Et André,Lausanne,Lausanne,46.51421,6.65132,Private room,53,2018,01,20
168546,10351772,126757807,2017-01-14,80924380,迎红,"房东夫妇都很和蔼,艺术家庭,妻子绘画,丈夫贝斯手,来过北京,上海开巡回演,欧洲人对物质的追求意识比较淡泊,家里装饰很简单,只有些生活必须品.这样反而觉得整洁温馨,在这边临时定了一晚,因为第二天要下午离开,房东又要出门,退房交钥匙时间就有点冲突,房东夫人不确定下午2点前一定能赶回来,好心的房东把钥匙留给我,她出门去了,让我下午出门钥匙给她放门口信箱,谢谢房东夫人的信任,很暖心的人,值得再次入住!",Belle chambre lumineuse,46449285,Roxana Et André,Lausanne,Lausanne,46.51421,6.65132,Private room,53,2017,01,14
168896,10351772,365331595,2019-01-01,164791393,Sarah,"Très jolie chambre! Propre, bien équipé, Check-in très facile et communication rapide. Merci!",Belle chambre lumineuse,46449285,Roxana Et André,Lausanne,Lausanne,46.51421,6.65132,Private room,53,2019,01,01
168906,10351772,366138858,2019-01-02,111698779,之翀,The room is quite nice.,Belle chambre lumineuse,46449285,Roxana Et André,Lausanne,Lausanne,46.51421,6.65132,Private room,53,2019,01,02
168916,10351772,367604122,2019-01-05,15960903,David,Je recommande très chaudement ce couple d'artistes qui savent accueillir leurs hôtes.,Belle chambre lumineuse,46449285,Roxana Et André,Lausanne,Lausanne,46.51421,6.65132,Private room,53,2019,01,05
168926,10351772,368145523,2019-01-06,47054952,Cristian,The apartment is clean and cozy. Roxana and André are very kind. We had a great time in their apartment,Belle chambre lumineuse,46449285,Roxana Et André,Lausanne,Lausanne,46.51421,6.65132,Private room,53,2019,01,06
168936,10351772,400158403,2019-01-11,132974362,Ghyslaine,"bon rapport qualité prix,très bien situé avec des commerces à proximité.",Belle chambre lumineuse,46449285,Roxana Et André,Lausanne,Lausanne,46.51421,6.65132,Private room,53,2019,01,11
168946,10351772,402408937,2019-01-18,44552108,Alexis,Un Airbnb unique chez des artistes très sympathiques,Belle chambre lumineuse,46449285,Roxana Et André,Lausanne,Lausanne,46.51421,6.65132,Private room,53,2019,01,18
168956,10351772,406636262,2019-01-30,106606852,유라,"Roxana and Andre are very good host. They reply my message fast and gave us a nice room to rest:-)
I'm so happy to meet them.

로잔역에서는 더 가야하지만 방이 깨끗했고 쉬기에 좋았다. 답장도 빨리 해주셔서 너무 감사했다. 주인분이 정말 친절하시다:-)",Belle chambre lumineuse,46449285,Roxana Et André,Lausanne,Lausanne,46.51421,6.65132,Private room,53,2019,01,30
